# TABLE NO.     2: NUTS Bayesian Analysis: Goal Function=AVERAGE VALUE OF LIKELIHOOD FUNCTION: Problem=1 Subproblem=0 Superproblem1=0 Iteration1=0 Superproblem2=0 Iteration2=0
ITERATION,THETA1,THETA2,THETA3,THETA4,"SIGMA(1,1)","OMEGA(1,1)","OMEGA(2,1)","OMEGA(2,2)","OMEGA(3,1)","OMEGA(3,2)","OMEGA(3,3)","OMEGA(4,1)","OMEGA(4,2)","OMEGA(4,3)","OMEGA(4,4)",MCMCOBJ
-247,1.56856E+00,1.51738E+00,7.83267E-01,2.26420E+00,6.39306E-02,5.20253E-02,4.69605E-02,7.96120E-02,-2.66699E-02,-2.95314E-02,1.40080E-01,9.93744E-02,9.93781E-02,-1.04682E-01,3.42268E-01,-2648.5815404627524
-246,1.64117E+00,1.56436E+00,7.53935E-01,2.48052E+00,5.30006E-02,5.17920E-02,4.11593E-02,7.58163E-02,-2.45436E-03,-9.12762E-03,1.30146E-01,8.25922E-02,7.62501E-02,-6.85676E-02,2.73275E-01,-2669.2844075133271
-245,1.64117E+00,1.56436E+00,7.53935E-01,2.48052E+00,5.30006E-02,5.17920E-02,4.11593E-02,7.58163E-02,-2.45436E-03,-9.12762E-03,1.30146E-01,8.25922E-02,7.62501E-02,-6.85676E-02,2.73275E-01,-2669.2844075133271
-244,1.63498E+00,1.58814E+00,8.43371E-01,2.43404E+00,4.78431E-02,5.47508E-02,4.32454E-02,6.49091E-02,-8.65636E-03,1.99819E-02,2.11092E-01,8.24545E-02,7.08011E-02,-6.35376E-02,2.97165E-01,-2663.0413242690038
-243,1.60271E+00,1.52535E+00,6.54659E-01,2.36274E+00,4.41795E-02,6.82130E-02,5.71478E-02,9.13653E-02,-2.14335E-02,-1.62346E-02,1.92677E-01,9.28005E-02,9.27890E-02,-9.51997E-02,2.89735E-01,-2675.5508469595820
-242,1.63042E+00,1.63778E+00,8.74301E-01,2.35621E+00,5.89539E-02,3.36284E-02,3.48572E-02,9.28070E-02,-2.79719E-02,-3.12022E-02,1.47204E-01,5.48401E-02,7.79841E-02,-1.32823E-01,2.38019E-01,-2662.9368431419662
-241,1.63475E+00,1.62049E+00,7.40339E-01,2.41507E+00,6.22208E-02,3.82023E-02,2.81884E-02,8.95682E-02,-3.72472E-02,-1.86563E-02,1.27594E-01,5.83276E-02,2.04577E-02,-1.34581E-01,2.77815E-01,-2652.7680910310733
-240,1.58966E+00,1.55131E+00,7.05878E-01,2.38179E+00,5.76758E-02,5.12780E-02,4.10588E-02,7.40989E-02,-5.31806E-02,-4.66628E-02,1.58974E-01,6.83691E-02,6.40303E-02,-1.56687E-01,2.29211E-01,-2717.0646489005430
-239,1.62552E+00,1.60941E+00,7.08013E-01,2.41097E+00,5.73796E-02,4.60059E-02,3.22217E-02,6.61419E-02,-4.31000E-02,-3.24994E-02,1.24590E-01,6.68811E-02,3.73798E-02,-1.39152E-01,2.41054E-01,-2738.0469591763649
-238,1.62552E+00,1.60941E+00,7.08013E-01,2.41097E+00,5.73796E-02,4.60059E-02,3.22217E-02,6.61419E-02,-4.31000E-02,-3.24994E-02,1.24590E-01,6.68811E-02,3.73798E-02,-1.39152E-01,2.41054E-01,-2738.0469591763649
-237,1.62282E+00,1.57346E+00,7.41519E-01,2.34963E+00,6.16361E-02,3.80776E-02,3.36411E-02,7.88248E-02,-3.44859E-02,-3.29307E-02,1.26889E-01,4.10118E-02,1.69548E-02,-1.11965E-01,2.06778E-01,-2686.6505113739927
-236,1.61651E+00,1.60621E+00,7.82746E-01,2.37470E+00,6.43957E-02,6.64036E-02,5.25035E-02,8.51938E-02,-8.09806E-02,-7.43800E-02,2.39437E-01,8.32426E-02,7.08593E-02,-1.42790E-01,2.28005E-01,-2609.6832925664294
-235,1.61524E+00,1.63379E+00,5.99465E-01,2.32931E+00,6.39358E-02,4.46520E-02,1.97771E-02,5.52681E-02,-2.76285E-02,-1.05897E-02,8.42799E-02,6.79261E-02,8.68831E-03,-5.51439E-02,2.39959E-01,-2645.5775956216439
-234,1.60749E+00,1.59596E+00,6.60907E-01,2.37493E+00,5.28835E-02,4.31335E-02,2.43527E-02,4.71467E-02,-2.30157E-02,2.78357E-03,1.35780E-01,7.84178E-02,2.91090E-02,-1.01724E-01,3.24136E-01,-2637.1203651486858
-233,1.58925E+00,1.53652E+00,7.01240E-01,2.39374E+00,5.14433E-02,5.82520E-02,5.04903E-02,7.81342E-02,8.42633E-04,5.49546E-03,1.16493E-01,9.52951E-02,1.02412E-01,-3.93988E-02,2.83566E-01,-2635.2754945220913
-232,1.63636E+00,1.56849E+00,7.12081E-01,2.33195E+00,5.05628E-02,5.62938E-02,4.17530E-02,5.32933E-02,-1.62726E-02,-4.87690E-03,1.62044E-01,9.77062E-02,7.60310E-02,-8.64886E-02,3.27865E-01,-2657.9419346465302
-231,1.60661E+00,1.54598E+00,7.17839E-01,2.36216E+00,5.82008E-02,5.79379E-02,4.33724E-02,7.09682E-02,-1.07350E-02,-2.97897E-03,1.29250E-01,1.00656E-01,7.80438E-02,-9.25651E-02,3.26353E-01,-2677.8708255976853
-230,1.59275E+00,1.53755E+00,7.03951E-01,2.35689E+00,5.62838E-02,6.74112E-02,5.90068E-02,9.08225E-02,-1.94080E-02,-1.03999E-02,9.44584E-02,9.90457E-02,8.85744E-02,-3.32141E-02,2.50131E-01,-2645.9425272960034
-229,1.58141E+00,1.54464E+00,7.31092E-01,2.35128E+00,5.91166E-02,8.66633E-02,6.11653E-02,9.27552E-02,-1.85956E-02,1.49839E-02,1.94642E-01,1.38667E-01,1.00880E-01,-9.61254E-02,3.89817E-01,-2564.4440742409251
-228,1.63442E+00,1.61207E+00,7.22433E-01,2.44088E+00,6.12690E-02,6.84462E-02,5.20450E-02,1.12346E-01,-6.57717E-03,5.16473E-02,1.44536E-01,9.78028E-02,7.11247E-02,-4.13955E-02,3.09168E-01,-2572.3651294952138
-227,1.61430E+00,1.57083E+00,7.71225E-01,2.38043E+00,6.57168E-02,6.90015E-02,5.78531E-02,9.70486E-02,3.96534E-03,2.96422E-02,1.02560E-01,9.10473E-02,4.86701E-02,-2.30529E-02,2.81511E-01,-2559.2833278715989
-226,1.62093E+00,1.56469E+00,7.38542E-01,2.32654E+00,5.64621E-02,7.95429E-02,4.90103E-02,1.11622E-01,-2.68437E-02,1.92373E-02,1.14518E-01,1.08598E-01,6.56945E-02,-7.94723E-02,2.88461E-01,-2575.6425931248873
-225,1.62093E+00,1.56469E+00,7.38542E-01,2.32654E+00,5.64621E-02,7.95429E-02,4.90103E-02,1.11622E-01,-2.68437E-02,1.92373E-02,1.14518E-01,1.08598E-01,6.56945E-02,-7.94723E-02,2.88461E-01,-2575.6425931248873
-224,1.62093E+00,1.56469E+00,7.38542E-01,2.32654E+00,5.64621E-02,7.95429E-02,4.90103E-02,1.11622E-01,-2.68437E-02,1.92373E-02,1.14518E-01,1.08598E-01,6.56945E-02,-7.94723E-02,2.88461E-01,-2575.6425931248873
-223,1.62978E+00,1.60285E+00,7.14070E-01,2.33164E+00,6.05298E-02,5.46823E-02,4.38963E-02,8.86413E-02,-3.37581E-02,-1.82940E-02,1.54132E-01,6.35973E-02,5.73155E-02,-1.27118E-01,2.44605E-01,-2611.7201679827690
-222,1.62988E+00,1.61860E+00,6.78944E-01,2.29542E+00,5.15626E-02,3.75030E-02,2.87287E-02,7.81836E-02,-1.60170E-02,4.63027E-03,1.06812E-01,6.29783E-02,4.13181E-02,-5.55783E-02,2.13787E-01,-2637.2128106627179
-221,1.61577E+00,1.56132E+00,6.92403E-01,2.32351E+00,5.47995E-02,6.14716E-02,5.71330E-02,1.25560E-01,-2.29405E-02,-1.95212E-02,1.39301E-01,7.17121E-02,3.91229E-02,-9.66750E-02,2.66312E-01,-2657.6072101056220
-220,1.62857E+00,1.60427E+00,6.84738E-01,2.32524E+00,5.67143E-02,4.50490E-02,3.48315E-02,5.74655E-02,-2.98898E-02,-8.00305E-03,1.17484E-01,6.61822E-02,3.63886E-02,-1.07334E-01,2.67904E-01,-2697.5191910952385
-219,1.64265E+00,1.62766E+00,7.21062E-01,2.35492E+00,5.07846E-02,5.00237E-02,3.61867E-02,6.82956E-02,-2.92725E-02,-2.66903E-02,1.22015E-01,7.94143E-02,3.68395E-02,-1.04689E-01,2.93677E-01,-2747.6286312300358
-218,1.60888E+00,1.53252E+00,6.88571E-01,2.40588E+00,5.44420E-02,4.78324E-02,3.83206E-02,7.78688E-02,-3.57793E-02,-4.04527E-02,1.28810E-01,7.61359E-02,3.10357E-02,-1.05479E-01,3.49541E-01,-2704.6196460007518
-217,1.63417E+00,1.59471E+00,7.31753E-01,2.31934E+00,5.42135E-02,5.93071E-02,3.75947E-02,6.40703E-02,-3.28602E-02,-1.84427E-02,8.74164E-02,1.28927E-01,6.52446E-02,-1.19628E-01,4.31363E-01,-2719.3468461008260
-216,1.61689E+00,1.54415E+00,7.17286E-01,2.35093E+00,5.77598E-02,4.48022E-02,2.89187E-02,7.78332E-02,-2.44053E-02,-2.74478E-02,6.39836E-02,6.35564E-02,1.66549E-02,-7.16816E-02,2.43912E-01,-2723.7631201474969
-215,1.60238E+00,1.56031E+00,6.66005E-01,2.38886E+00,5.33736E-02,5.61028E-02,4.27551E-02,6.71828E-02,-2.36318E-02,-1.31701E-02,8.83379E-02,1.08629E-01,7.64406E-02,-8.54299E-02,3.40863E-01,-2789.7306304655008
-214,1.58733E+00,1.56586E+00,6.57972E-01,2.29787E+00,5.40755E-02,4.74374E-02,3.11936E-02,6.60723E-02,-3.49840E-02,-2.36989E-02,1.08758E-01,6.23642E-02,6.86122E-03,-9.76076E-02,2.41678E-01,-2708.2458740060952
-213,1.64101E+00,1.63331E+00,5.82636E-01,2.40637E+00,5.30707E-02,4.00332E-02,2.41379E-02,6.62839E-02,-3.85408E-02,-2.96443E-02,1.21239E-01,7.12987E-02,1.39676E-02,-1.22953E-01,2.93217E-01,-2718.5860621953893
-212,1.61962E+00,1.62796E+00,7.97835E-01,2.28476E+00,5.49078E-02,3.82844E-02,3.31966E-02,7.87376E-02,-2.95867E-02,1.05911E-03,1.31478E-01,5.41962E-02,1.65755E-02,-1.31196E-01,2.42456E-01,-2736.2765670505719
