TABLE NO.  1
 ID                      TIME                    Y1                      Y2                      A1                      A2                      A3                      EVID                    CMT
  1.0000000000000000E+00  1.5000000000000000E+01  9.8321868457816688E+00  3.3093312019397856E+00  1.7391686419436532E+00  6.5228556438418828E+00  3.3093312019397856E+00  1.0000000000000000E+00  4.0000000000000000E+00
  1.0000000000000000E+00  1.6000000000000000E+01  1.0022513639828366E+01  3.7277818027652381E+00  1.6305750587102685E+00  6.2947318370631278E+00  3.7277818027652381E+00  0.0000000000000000E+00  4.0000000000000000E+00
  1.0000000000000000E+00  1.7000000000000000E+01  1.0206578931011144E+01  4.0719146702828439E+00  1.6633945528561918E+00  6.1346642607282993E+00  4.0719146702828439E+00  0.0000000000000000E+00  4.0000000000000000E+00
  1.0000000000000000E+00  1.8000000000000000E+01  1.0385113686185115E+01  4.3633206197968972E+00  1.6796007905554062E+00  6.0217930663882164E+00  4.3633206197968972E+00  0.0000000000000000E+00  4.0000000000000000E+00
  1.0000000000000000E+00  1.9000000000000000E+01  1.0557297440412217E+01  4.6078101113218661E+00  1.6852405561872255E+00  5.9494873290903501E+00  4.6078101113218661E+00  0.0000000000000000E+00  4.0000000000000000E+00
  1.0000000000000000E+00  2.0000000000000000E+01  1.0722728671981189E+01  4.8166843347926900E+00  1.6810555016430593E+00  5.9060443371884990E+00  4.8166843347926900E+00  0.0000000000000000E+00  4.0000000000000000E+00
  1.0000000000000000E+00  2.1000000000000000E+01  1.0880250863994661E+01  5.0180775693438227E+00  1.6691044444157339E+00  5.8621732946508383E+00  5.0180775693438227E+00  0.0000000000000000E+00  4.0000000000000000E+00
  1.0000000000000000E+00  2.2000000000000000E+01  1.1029010678148289E+01  5.2088508466349310E+00  1.6526877915253271E+00  5.8201598315133580E+00  5.2088508466349310E+00  0.0000000000000000E+00  4.0000000000000000E+00
  1.0000000000000000E+00  2.3000000000000000E+01  1.1168866534480141E+01  5.3880454661030601E+00  1.6354438434947618E+00  5.7808210683770822E+00  5.3880454661030601E+00  0.0000000000000000E+00  4.0000000000000000E+00
  1.0000000000000000E+00  2.4000000000000000E+01  1.1300334270651186E+01  5.5551114210188963E+00  1.6204782220824987E+00  5.7452228496322899E+00  5.5551114210188963E+00  0.0000000000000000E+00  4.0000000000000000E+00
  1.0000000000000000E+00  2.5000000000000000E+01  1.1424425031694593E+01  5.7099748657857301E+00  1.6098887136613047E+00  5.7144501659088620E+00  5.7099748657857301E+00  0.0000000000000000E+00  4.0000000000000000E+00
  1.0000000000000000E+01  0.0000000000000000E+00  2.8300000000000001E+00  0.0000000000000000E+00  1.0000000000000000E+00  2.8300000000000001E+00  0.0000000000000000E+00  0.0000000000000000E+00  4.0000000000000000E+00
  1.0000000000000000E+01  1.0000000000000000E+00  3.4332378911111117E+00  1.1812541562076029E-03  5.1498388834112889E+00  3.4320566369549041E+00  1.1812541562076029E-03  1.0000000000000000E+00  4.0000000000000000E+00
  1.0000000000000000E+01  1.0000000000000000E+00  3.4332378911111117E+00  1.1812541562076029E-03  5.1498388834112889E+00  3.4320566369549041E+00  1.1812541562076029E-03  0.0000000000000000E+00  4.0000000000000000E+00
  1.0000000000000000E+01  2.0000000000000000E+00  3.7024752132366330E+00  3.0927559031148628E-03  1.0947053428842075E+00  3.6993824573335181E+00  3.0927559031148628E-03  0.0000000000000000E+00  4.0000000000000000E+00
  1.0000000000000000E+01  3.0000000000000000E+00  3.9140896626156936E+00  6.2093330093924348E-03  1.1868243623900989E+00  3.9078803296063009E+00  6.2093330093924348E-03  0.0000000000000000E+00  4.0000000000000000E+00
  1.0000000000000000E+01  4.0000000000000000E+00  4.1402490658727418E+00  1.1313810532287388E-02  1.2601068183457209E+00  4.1289352553404548E+00  1.1313810532287388E-02  0.0000000000000000E+00  4.0000000000000000E+00
  1.0000000000000000E+01  5.0000000000000000E+00  4.3793058729183230E+00  1.9696816825030897E-02  1.3285837929542732E+00  4.3596090560932916E+00  1.9696816825030897E-02  0.0000000000000000E+00  4.0000000000000000E+00
  1.0000000000000000E+01  6.0000000000000000E+00  4.6302429365337332E+00  3.3486205472067224E-02  1.3921110609795597E+00  4.5967567310616664E+00  3.3486205472067224E-02  0.0000000000000000E+00  4.0000000000000000E+00
  1.0000000000000000E+01  7.0000000000000000E+00  4.8918927759436830E+00  5.6190183972490551E-02  1.4503477430980416E+00  4.8357025919711925E+00  5.6190183972490551E-02  0.0000000000000000E+00  4.0000000000000000E+00
  1.0000000000000000E+01  8.0000000000000000E+00  5.1629012812564685E+00  9.3592778974153690E-02  1.5031436111083523E+00  5.0693085022823148E+00  9.3592778974153690E-02  0.0000000000000000E+00  4.0000000000000000E+00
  1.0000000000000000E+01  8.0000000000000000E+00  5.1629012812564685E+00  9.3592778974153690E-02  1.5031436111083523E+00  5.0693085022823148E+00  9.3592778974153690E-02  1.0000000000000000E+00  4.0000000000000000E+00
  1.0000000000000000E+01  9.0000000000000000E+00  5.2870551505575136E+00  1.5523020466761245E-01  7.1160334889400112E-01  5.1318249458899015E+00  1.5523020466761245E-01  0.0000000000000000E+00  4.0000000000000000E+00
  1.0000000000000000E+01  1.0000000000000000E+01  5.4205149408513824E+00  2.5682500210893555E-01  7.9516160504941369E-01  5.1636899387424471E+00  2.5682500210893555E-01  0.0000000000000000E+00  4.0000000000000000E+00
  1.0000000000000000E+01  1.1000000000000000E+01  5.5642556096826725E+00  4.8839976792569312E-01  8.7368115480477593E-01  5.0758558417569795E+00  4.8839976792569312E-01  0.0000000000000000E+00  4.0000000000000000E+00
  1.0000000000000000E+01  1.2000000000000000E+01  5.7077076824487420E+00  1.0702651983278961E+00  9.5289150370301035E-01  4.6374424841208457E+00  1.0702651983278961E+00  0.0000000000000000E+00  4.0000000000000000E+00
  1.0000000000000000E+01  1.3000000000000000E+01  5.8555725486550196E+00  1.2361474952383629E+00  1.0317182185395128E+00  4.6194250534166565E+00  1.2361474952383629E+00  0.0000000000000000E+00  4.0000000000000000E+00
  1.0000000000000000E+01  1.4000000000000000E+01  6.0125844462650555E+00  1.4131305589707599E+00  1.1090495099001960E+00  4.5994538872942954E+00  1.4131305589707599E+00  0.0000000000000000E+00  4.0000000000000000E+00
  1.0000000000000000E+01  1.5000000000000000E+01  6.1780673162717825E+00  1.5982439500239833E+00  1.1838549434071399E+00  4.5798233662477994E+00  1.5982439500239833E+00  0.0000000000000000E+00  4.0000000000000000E+00
  1.0000000000000000E+01  1.5000000000000000E+01  6.1780673162717825E+00  1.5982439500239833E+00  1.1838549434071399E+00  4.5798233662477994E+00  1.5982439500239833E+00  1.0000000000000000E+00  4.0000000000000000E+00
  1.0000000000000000E+01  1.6000000000000000E+01  6.2381893649279592E+00  1.7902617008283972E+00  6.4455091363349926E-01  4.4479276640995620E+00  1.7902617008283972E+00  0.0000000000000000E+00  4.0000000000000000E+00
  1.0000000000000000E+01  1.7000000000000000E+01  6.3064084975064372E+00  1.9880788090910975E+00  7.2343586952849637E-01  4.3183296884153402E+00  1.9880788090910975E+00  0.0000000000000000E+00  4.0000000000000000E+00
  1.0000000000000000E+01  1.8000000000000000E+01  6.3825388270135797E+00  2.1905605400485197E+00  8.0004208975734170E-01  4.1919782869650595E+00  2.1905605400485197E+00  0.0000000000000000E+00  4.0000000000000000E+00
  1.0000000000000000E+01  1.9000000000000000E+01  6.4669919149808504E+00  2.3389068204745160E+00  8.7837733635446935E-01  4.1280850945063339E+00  2.3389068204745160E+00  0.0000000000000000E+00  4.0000000000000000E+00
  1.0000000000000000E+01  2.0000000000000000E+01  6.5635055467198420E+00  2.3936225333971746E+00  9.5739206465894733E-01  4.1698830133226670E+00  2.3936225333971746E+00  0.0000000000000000E+00  4.0000000000000000E+00
  1.0000000000000000E+01  2.1000000000000000E+01  6.6726445965113808E+00  2.4640145350114477E+00  1.0359606126568350E+00  4.2086300614999335E+00  2.4640145350114477E+00  0.0000000000000000E+00  4.0000000000000000E+00
  1.0000000000000000E+01  2.2000000000000000E+01  6.7938210201840450E+00  2.5465580384041955E+00  1.1129821201057932E+00  4.2472629817798495E+00  2.5465580384041955E+00  0.0000000000000000E+00  4.0000000000000000E+00
  1.0000000000000000E+01  2.3000000000000000E+01  6.9262800031123177E+00  2.6409983843203526E+00  1.1874401398159453E+00  4.2852816187919656E+00  2.6409983843203526E+00  0.0000000000000000E+00  4.0000000000000000E+00
  1.0000000000000000E+01  2.4000000000000000E+01  7.0691003857188779E+00  2.7469225642082136E+00  1.2584523209900844E+00  4.3221778215106648E+00  2.7469225642082136E+00  0.0000000000000000E+00  4.0000000000000000E+00
  1.0000000000000000E+01  2.5000000000000000E+01  7.2212287134728932E+00  2.8637274524387539E+00  1.3253039852398458E+00  4.3575012610341393E+00  2.8637274524387539E+00  0.0000000000000000E+00  4.0000000000000000E+00
  1.0000000000000000E+02  0.0000000000000000E+00  2.8300000000000001E+00  0.0000000000000000E+00  1.0000000000000000E+00  2.8300000000000001E+00  0.0000000000000000E+00  0.0000000000000000E+00  4.0000000000000000E+00
  1.0000000000000000E+02  1.0000000000000000E+00  3.4332378911111117E+00  1.1812541562076029E-03  5.1498388834112889E+00  3.4320566369549041E+00  1.1812541562076029E-03  1.0000000000000000E+00  4.0000000000000000E+00
  1.0000000000000000E+02  1.0000000000000000E+00  3.4332378911111117E+00  1.1812541562076029E-03  5.1498388834112889E+00  3.4320566369549041E+00  1.1812541562076029E-03  0.0000000000000000E+00  4.0000000000000000E+00
  1.0000000000000000E+02  2.0000000000000000E+00  3.4628302975029617E+00  3.0927559031156265E-03  1.3236795397183806E-01  3.4597375415998459E+00  3.0927559031156265E-03  0.0000000000000000E+00  4.0000000000000000E+00
  1.0000000000000000E+02  3.0000000000000000E+00  3.4893959075816650E+00  6.2093330093108872E-03  1.5632293936642019E-01  3.4831865745723540E+00  6.2093330093108872E-03  0.0000000000000000E+00  4.0000000000000000E+00
  1.0000000000000000E+02  4.0000000000000000E+00  3.5204497184401724E+00  1.1313810911975131E-02  1.8287714574380837E-01  3.5091359075281972E+00  1.1313810911975131E-02  0.0000000000000000E+00  4.0000000000000000E+00
  1.0000000000000000E+02  5.0000000000000000E+00  3.5565666214679559E+00  1.9696817193128893E-02  2.1334098889339526E-01  3.5368698042748270E+00  1.9696817193128893E-02  0.0000000000000000E+00  4.0000000000000000E+00
  1.0000000000000000E+02  6.0000000000000000E+00  3.5983738590060064E+00  3.3486205828929236E-02  2.4809446478571270E-01  3.5648876531770770E+00  3.3486205828929236E-02  0.0000000000000000E+00  4.0000000000000000E+00
  1.0000000000000000E+02  7.0000000000000000E+00  3.6464797026072957E+00  5.6190184318459555E-02  2.8747804136063737E-01  3.5902895182888361E+00  5.6190184318459555E-02  0.0000000000000000E+00  4.0000000000000000E+00
  1.0000000000000000E+02  8.0000000000000000E+00  3.7014094764275982E+00  9.3592779309562182E-02  3.3177511302421481E-01  3.6078166971180359E+00  9.3592779309562182E-02  0.0000000000000000E+00  4.0000000000000000E+00
  1.0000000000000000E+02  8.0000000000000000E+00  3.7014094764275982E+00  9.3592779309562182E-02  3.3177511302421481E-01  3.6078166971180359E+00  9.3592779309562182E-02  1.0000000000000000E+00  4.0000000000000000E+00
  1.0000000000000000E+02  9.0000000000000000E+00  3.7132376957038140E+00  1.5523020499279536E-01  1.0005340075083695E-01  3.5580074907110188E+00  1.5523020499279536E-01  0.0000000000000000E+00  4.0000000000000000E+00
  1.0000000000000000E+02  1.0000000000000000E+01  3.7271689102150938E+00  2.5682500242425410E-01  1.1832098311142070E-01  3.4703439077908396E+00  2.5682500242425410E-01  0.0000000000000000E+00  4.0000000000000000E+00
  1.0000000000000000E+02  1.1000000000000000E+01  3.7403090312152090E+00  4.8840193581270208E-01  1.3894918288668606E-01  3.2519070954025069E+00  4.8840193581270208E-01  0.0000000000000000E+00  4.0000000000000000E+00
  1.0000000000000000E+02  1.2000000000000000E+01  3.7436789539950719E+00  9.3709365127906719E-01  1.6281517755180827E-01  2.8065853027160048E+00  9.3709365127906719E-01  0.0000000000000000E+00  4.0000000000000000E+00
  1.0000000000000000E+02  1.3000000000000000E+01  3.7473327666485030E+00  9.3177805396669722E-01  1.9030397023924867E-01  2.8155547126818057E+00  9.3177805396669722E-01  0.0000000000000000E+00  4.0000000000000000E+00
  1.0000000000000000E+02  1.4000000000000000E+01  3.7565200156049636E+00  9.3139970022144214E-01  2.2179789191258326E-01  2.8251203153835216E+00  9.3139970022144214E-01  0.0000000000000000E+00  4.0000000000000000E+00
  1.0000000000000000E+02  1.5000000000000000E+01  3.7718713621689433E+00  9.3581053408197634E-01  2.5766269972819966E-01  2.8360608280869668E+00  9.3581053408197634E-01  0.0000000000000000E+00  4.0000000000000000E+00
  1.0000000000000000E+02  1.5000000000000000E+01  3.7718713621689433E+00  9.3581053408197634E-01  2.5766269972819966E-01  2.8360608280869668E+00  9.3581053408197634E-01  1.0000000000000000E+00  4.0000000000000000E+00
  1.0000000000000000E+02  1.6000000000000000E+01  3.7572588589352547E+00  9.4556646363521391E-01  9.3261174966807456E-02  2.8116923953000410E+00  9.4556646363521391E-01  0.0000000000000000E+00  4.0000000000000000E+00
  1.0000000000000000E+02  1.7000000000000000E+01  3.7465364894735202E+00  9.6127900724938775E-01  1.1032225801498056E-01  2.7852574822241327E+00  9.6127900724938775E-01  0.0000000000000000E+00  4.0000000000000000E+00
  1.0000000000000000E+02  1.8000000000000000E+01  3.7385627227482905E+00  9.8360369929776426E-01  1.2966071609914970E-01  2.7549590234505263E+00  9.8360369929776426E-01  0.0000000000000000E+00  4.0000000000000000E+00
  1.0000000000000000E+02  1.9000000000000000E+01  3.7337632541718988E+00  9.9342183691532238E-01  1.5207423113679419E-01  2.7403414172565763E+00  9.9342183691532238E-01  0.0000000000000000E+00  4.0000000000000000E+00
  1.0000000000000000E+02  2.0000000000000000E+01  3.7336456078458382E+00  9.8078734530902312E-01  1.7794317392335507E-01  2.7528582625368152E+00  9.8078734530902312E-01  0.0000000000000000E+00  4.0000000000000000E+00
  1.0000000000000000E+02  2.1000000000000000E+01  3.7389911458431380E+00  9.7208564900495253E-01  2.0765103293844028E-01  2.7669054968381857E+00  9.7208564900495253E-01  0.0000000000000000E+00  4.0000000000000000E+00
  1.0000000000000000E+02  2.2000000000000000E+01  3.7504260514999124E+00  9.6735798423025610E-01  2.4157282085045620E-01  2.7830680672696562E+00  9.6735798423025610E-01  0.0000000000000000E+00  4.0000000000000000E+00
  1.0000000000000000E+02  2.3000000000000000E+01  3.7686324425934221E+00  9.6706446424761394E-01  2.8005543279166012E-01  2.8015679783458083E+00  9.6706446424761394E-01  0.0000000000000000E+00  4.0000000000000000E+00
  1.0000000000000000E+02  2.4000000000000000E+01  3.7943369851835991E+00  9.7172285874139352E-01  3.2339337193861323E-01  2.8226141264422053E+00  9.7172285874139352E-01  0.0000000000000000E+00  4.0000000000000000E+00
  1.0000000000000000E+02  2.5000000000000000E+01  3.8282969226881756E+00  9.8190477443518454E-01  3.7180037322592663E-01  2.8463921482529910E+00  9.8190477443518454E-01  0.0000000000000000E+00  4.0000000000000000E+00
